iter	Passed	Remaining
912	269139	8574439
913	269422	8573763
914	269731	8573914
915	270025	8573600
916	270305	8572826
917	270556	8571165
918	270814	8569692
919	271102	8569205
920	271408	8569247
921	271676	8568133
922	271926	8566424
923	272225	8566261
924	272477	8564630
925	272770	8564295
926	273029	8562877
927	273310	8562162
928	273605	8561868
929	273898	8561522
930	274152	8559989
931	274446	8559663
932	274676	8557377
933	274940	8556130
934	275238	8555951
935	275498	8554571
936	275727	8552271
937	276015	8551766
938	276274	8550375
939	276565	8550008
940	276825	8548634
941	277117	8548282
942	277339	8545755
943	277626	8545253
944	277920	8544940
945	278207	8544434
946	278511	8544449
947	278801	8544026
948	279050	8542371
949	279312	8541078
950	279602	8540663
951	279904	8540609
952	280170	8539477
953	280430	8538144
954	280731	8538068
955	280994	8536835
956	281297	8536791
957	281579	8536159
958	281847	8535075
959	282140	8534765
960	282440	8534639
961	282735	8534378
962	282961	8532045
963	283281	8532519
964	283414	8527408
965	283643	8525171
966	283867	8522776
967	284157	8522385
968	284459	8522322
969	284721	8521083
970	285013	8520757
971	285276	8519560
972	285568	8519223
973	285821	8517708
974	286127	8517807
975	286421	8517521
976	286706	8516977
977	286999	8516663
978	287303	8516694
979	287588	8516136
980	287883	8515893
981	288142	8514585
982	288433	8514210
983	288722	8513780
984	289008	8513274
985	289310	8513232
986	289576	8512128
987	289876	8512029
988	290176	8511950
989	290468	8511619
990	290767	8511488
991	290995	8509275
992	291307	8509516
993	291479	8505697
994	291754	8504877
995	292047	8504562
996	292340	8504266
997	292624	8503706
998	292927	8503682
999	293158	8501609
1000	293422	8500459
1001	293722	8500352
1002	294018	8500155
1003	294320	8500114
1004	294604	8499548
1005	294869	8498453
1006	295161	8498133
1007	295459	8497971
1008	295762	8497979
1009	296070	8498095
1010	296382	8498351
1011	296612	8496240
1012	296875	8495092
1013	297105	8492986
1014	297432	8493677
1015	297614	8490201
1016	297916	8490179
1017	298224	8490312
1018	298517	8490018
1019	298807	8489659
1020	299092	8489118
1021	299365	8488261
1022	299593	8486126
1023	299878	8485618
1024	300166	8485189
1025	300464	8485041
1026	300759	8484801
1027	300986	8482656
1028	301207	8480364
1029	301495	8479921
1030	301798	8479931
1031	302093	8479683
1032	302384	8479345
1033	302688	8479389
1034	302915	8477242
1035	303215	8477155
1036	303468	8475745
1037	303724	8474433
1038	304034	8474643
1039	304320	8474156
1040	304627	8474265
1041	304929	8474238
1042	305231	8474204
1043	305513	8473602
1044	305782	8472656
1045	306064	8472085
1046	306331	8471065
1047	306589	8469821
1048	306845	8468525
1049	307142	8468360
1050	307441	8468250
1051	307740	8468116
1052	308032	8467825
1053	308325	8467549
1054	308581	8466261
1055	308843	8465109
1056	309134	8464790
1057	309419	8464292
1058	309715	8464089
1059	310012	8463921
1060	310241	8461894
1061	310468	8459817
1062	310783	8460142
1063	311084	8460100
1064	311398	8460387
1065	311661	8459287
1066	311966	8459344
1067	312186	8457108
1068	312444	8455882
1069	312675	8453938
1070	312969	8453672
1071	313273	8453714
1072	313573	8453614
1073	313808	8451778
1074	314030	8449612
1075	314314	8449090
1076	314560	8447579
1077	314852	8447286
1078	315148	8447077
1079	315367	8444845
1080	315690	8445373
1081	315874	8442200
1082	316145	8441348
1083	316395	8439940
1084	316688	8439684
1085	316972	8439187
1086	317263	8438854
1087	317563	8438770
1088	317869	8438873
1089	318172	8438874
1090	318471	8438770
1091	318760	8438400
1092	319054	8438153
1093	319335	8437587
1094	319563	8435591
1095	319831	8434684
1096	320139	8434815
1097	320367	8432834
1098	320675	8432975
1099	320901	8430960
1100	321127	8428939
1101	321383	8427716
1102	321695	8427945
1103	321927	8426100
1104	322190	8425073
1105	322493	8425063
1106	322721	8423111
1107	322940	8420942
1108	323244	8420972
1109	323503	8419833
1110	323792	8419468
1111	324084	8419204
1112	324379	8419000
1113	324689	8419204
1114	324983	8418974
1115	325249	8418020
1116	325503	8416768
1117	325803	8416693
1118	326098	8416491
1119	326328	8414625
1120	326627	8414520
1121	326880	8413233
1122	327185	8413290
1123	327484	8413215
1124	327752	8412316
1125	328014	8411279
1126	328280	8410336
1127	328597	8410686
1128	328893	8410535
1129	329180	8410127
1130	329406	8408155
1131	329630	8406170
1132	329896	8405214
1133	330153	8404072
1134	330386	8402305
1135	330692	8402393
1136	330993	8402352
1137	331292	8402249
1138	331559	8401357
1139	331846	8400954
1140	332141	8400760
1141	332395	8399525
1142	332692	8399400
1143	332984	8399129
1144	333236	8397855
1145	333532	8397681
1146	333817	8397246
1147	334128	8397462
1148	334408	8396896
1149	334732	8397417
1150	335032	8397345
1151	335329	8397206
1152	335587	8396102
1153	335890	8396103
1154	336184	8395892
1155	336479	8395689
1156	336782	8395681
1157	337078	8395531
1158	337381	8395529
1159	337681	8395469
1160	337904	8393481
1161	338211	8393584
1162	338465	8392381
1163	338762	8392223
1164	339057	8392047
1165	339353	8391870
1166	339616	8390884
1167	339843	8389018
1168	340141	8388900
1169	340425	8388433
1170	340712	8388047
1171	340978	8387132
1172	341277	8387056
1173	341601	8387573
1174	341900	8387467
1175	342159	8386409
1176	342420	8385369
1177	342706	8384965
1178	342975	8384146
1179	343257	8383618
1180	343549	8383355
1181	343834	8382931
1182	344131	8382791
1183	344396	8381861
1184	344629	8380171
1185	344923	8379945
1186	345236	8380194
1187	345537	8380153
1188	345766	8378361
1189	346074	8378499
1190	346373	8378398
1191	346662	8378071
1192	346931	8377248
1193	347225	8377025
1194	347481	8375911
1195	347745	8374966
1196	348033	8374603
1197	348295	8373625
1198	348523	8371821
1199	348868	8372854
1200	349033	8369536
1201	349341	8369667
1202	349570	8367894
1203	349889	8368278
1204	350205	8368595
1205	350402	8366084
1206	350702	8366006
1207	350962	8364997
1208	351261	8364896
1209	351550	8364576
1210	351845	8364390
1211	352143	8364287
1212	352444	8364227
1213	352679	8362619
1214	352944	8361731
1215	353231	8361355
1216	353525	8361152
1217	353825	8361098
1218	354118	8360864
1219	354380	8359897
1220	354665	8359476
1221	354967	8359447
1222	355227	8358459
1223	355529	8358439
1224	355786	8357354
1225	356015	8355613
1226	356320	8355681
1227	356557	8354131
1228	356869	8354343
1229	357159	8354046
1230	357460	8354007
1231	357763	8354012
1232	358058	8353829
1233	358351	8353592
1234	358634	8353143
1235	358894	8352128
1236	359208	8352400
1237	359491	8351942
1238	359802	8352126
1239	360119	8352443
1240	360385	8351592
1241	360657	8350871
1242	360952	8350695
1243	361262	8350858
1244	361496	8349257
1245	361821	8349767
1246	362090	8348981
1247	362370	8348463
1248	362656	8348071
1249	362952	8347914
1250	363250	8347790
1251	363552	8347767
1252	363858	8347839
1253	364151	8347606
1254	364391	8346160
1255	364699	8346269
1256	365021	8346701
1257	365312	8346425
1258	365628	8346721
1259	365929	8346682
1260	366228	8346584
1261	366541	8346795
1262	366849	8346922
1263	367142	8346689
1264	367396	8345555
1265	367693	8345417
1266	367976	8344954
1267	368275	8344862
1268	368585	8345029
1269	368878	8344790
1270	369179	8344727
1271	369465	8344351
1272	369766	8344294
1273	370025	8343294
1274	370311	8342891
1275	370609	8342772
1276	370867	8341765
1277	371177	8341916
1278	371468	8341622
1279	371779	8341801
1280	372062	8341353
1281	372357	8341158
1282	372638	8340646
1283	372936	8340534
1284	373230	8340319
1285	373524	8340120
1286	373827	8340107
1287	374132	8340124
1288	374437	8340158
1289	374737	8340092
1290	375003	8339243
1291	375294	8338964
1292	375555	8338035
1293	375857	8338004
1294	376088	8336379
1295	376378	8336091
1296	376678	8336006
1297	376962	8335584
1298	377245	8335123
1299	377503	8334124
1300	377791	8333779
1301	378017	8332060
1302	378246	8330416
1303	378541	8330229
1304	378804	8329355
1305	379103	8329247
1306	379398	8329050
1307	379690	8328796
1308	379987	8328660
1309	380286	8328569
1310	380581	8328372
1311	380875	8328162
1312	381166	8327898
1313	381458	8327630
1314	381742	8327203
1315	381957	8325288
1316	382241	8324849
1317	382383	8321327
1318	382689	8321398
1319	383053	8322703
1320	383349	8322540
1321	383665	8322807
1322	383983	8323129
1323	384283	8323050
1324	384585	8323015
1325	384844	8322037
1326	385142	8321911
1327	385433	8321647
1328	385664	8320082
1329	385948	8319657
1330	386255	8319726
1331	386519	8318884
1332	386780	8317957
1333	387050	8317236
1334	387361	8317383
1335	387654	8317151
1336	387950	8317002
1337	388208	8316020
1338	388468	8315086
1339	388775	8315149
1340	389043	8314395
1341	389339	8314227
1342	389608	8313482
1343	389871	8312616
1344	390176	8312654
1345	390308	8308999
1346	390605	8308857
1347	390950	8309729
1348	391220	8309015
1349	391518	8308895
1350	391825	8308966
1351	392129	8308969
1352	392429	8308887
1353	392734	8308906
1354	392999	8308089
1355	393293	8307887
1356	393523	8306341
1357	393810	8305975
1358	394111	8305917
1359	394368	8304944
1360	394631	8304087
1361	394921	8303786
1362	395215	8303580
1363	395527	8303759
1364	395854	8304235
1365	396148	8304030
1366	396399	8302936
1367	396664	8302112
1368	396950	8301741
1369	397241	8301487
1370	397533	8301229
1371	397834	8301161
1372	398180	8302049
1373	398474	8301834
1374	398712	8300460
1375	398996	8300055
1376	399290	8299849
1377	399555	8299030
1378	399867	8299208
1379	400130	8298351
1380	400422	8298114
1381	400759	8298804
1382	401029	8298082
1383	401309	8297593
1384	401604	8297401
1385	401830	8295807
1386	402132	8295760
1387	402414	8295295
1388	402713	8295206
1389	403008	8295016
1390	403298	8294721
1391	403593	8294538
1392	403846	8293488
1393	404105	8292568
1394	404332	8290992
1395	404586	8289963
1396	404852	8289195
1397	405115	8288349
1398	405417	8288307
1399	405701	8287902
1400	405959	8286964
1401	406189	8285463
1402	406476	8285102
1403	406785	8285212
1404	407106	8285550
1405	407389	8285137
1406	407688	8285027
1407	408004	8285264
1408	408326	8285627
1409	408627	8285576
1410	408894	8284814
1411	409187	8284591
1412	409455	8283867
1413	409715	8282980
1414	409978	8282145
1415	410236	8281214
1416	410501	8280421
1417	410777	8279856
1418	411032	8278875
1419	411293	8278003
1420	411605	8278163
1421	411897	8277931
1422	412152	8276936
1423	412409	8275993
1424	412680	8275333
1425	412970	8275038
1426	413325	8276062
1427	413608	8275652
1428	413874	8274885
1429	414155	8274419
1430	414521	8275653
1431	414759	8274338
1432	415052	8274107
1433	415351	8274010
1434	415648	8273871
1435	415968	8274191
1436	416291	8274554
1437	416605	8274748
1438	416876	8274093
1439	417190	8274282
1440	417467	8273742
1441	417784	8273978
1442	418068	8273574
1443	418344	8273026
1444	418645	8272958
1445	418945	8272871
1446	419215	8272200
1447	419471	8271239
1448	419757	8270870
1449	420081	8271269
1450	420376	8271083
1451	420643	8270341
1452	420912	8269645
1453	421210	8269512
1454	421474	8268712
1455	421779	8268731
1456	422025	8267596
1457	422348	8267944
1458	422665	8268203
1459	422962	8268053
1460	423265	8268014
1461	423565	8267925
1462	423897	8268469
1463	424207	8268564
1464	424526	8268846
